标签名,标签值,一级分类,二级分类,三级分类,四级分类
杰作,masterpiece,常规标签,画质,,
写实,realistic,常规标签,画质,,
提高质量,"HDR,UHD,8K",常规标签,画质,,
最佳质量,best quality,常规标签,画质,,
高分辨率,highres,常规标签,画质,,
超高分辨率,absurdres,常规标签,画质,,
超高清,ultra-highres,常规标签,画质,,
更多细节,Highly detailed,常规标签,画质,,
简单背景,simple background,常规标签,画质,,
模糊背景,blurry background,常规标签,画质,,
清晰背景,clear background,常规标签,画质,,
清晰细节,clear details,常规标签,画质,,
超精细绘画,ultra-fine painting,常规标签,画质,,
聚焦清晰,sharp focus,常规标签,画质,,
物理渲染,physically-based rendering,常规标签,画质,,
极详细刻画,extreme detail description,常规标签,画质,,
改善细节,Professional,常规标签,画质,,
添加鲜艳色彩,Vivid Colors,常规标签,画质,,
扫描,High resolution scan,常规标签,画质,,
基础负面,"low resolution,worst quality, low quality, normal quality, lowres,jpeg, cropped, bad composition, artifacts bad proportions, error, inaccurate limb, bad anatomy, bad, ugly, terrible, extra fingers, fewer fingers, missing fingers, extra arms, extra legs, inaccurate eyes,extra digit, fewer digits, trademark, artist's name, username, watermarksignature, watermark,text, words",常规标签,负面标签,,
低分辨率,lowres,常规标签,负面标签,,
NSFW,nsfw,常规标签,负面标签,,
变异手指,mutated hands and fingers,常规标签,负面标签,,
畸形的,deformed,常规标签,负面标签,,
解剖不良,bad anatomy,常规标签,负面标签,,
毁容,disfigured,常规标签,负面标签,,
脸不好,poorly drawn face,常规标签,负面标签,,
变异的,mutated,常规标签,负面标签,,
多余肢体,extra limb,常规标签,负面标签,,
丑陋,ugly,常规标签,负面标签,,
手画得差,poorly drawn hands,常规标签,负面标签,,
缺少的肢体,missing limb,常规标签,负面标签,,
漂浮的四肢,floating limbs,常规标签,负面标签,,
肢体不连贯,disconnected limbs,常规标签,负面标签,,
畸形的手,malformed hands,常规标签,负面标签,,
脱离焦点,out of focus,常规标签,负面标签,,
长颈,long neck,常规标签,负面标签,,
身体长,long body,常规标签,负面标签,,
张嘴,gape,常规标签,负面标签,,
相机设置,"(EOS R8,50mm,F1.2,8K,RAW photo",常规标签,摄影,,
散景,Bokeh,常规标签,摄影,,
景深,depth of field,常规标签,摄影,,
广角,wide angle,常规标签,摄影,,
微距,macro,常规标签,摄影,,
大光圈,wide aperture,常规标签,摄影,,
演播室灯光,Studio lighting,常规标签,光影,,
电影光效,cinematic_lighting,常规标签,光影,,
镜头光晕,lens_flare,常规标签,光影,,
光追,reality_ray_tracing,常规标签,光影,,
正面光,frontlight,常规标签,光影,,
侧面光,sidelight,常规标签,光影,,
背光,backlight,常规标签,光影,,
逆光,backlighting,常规标签,光影,,
边缘光,rim_light,常规标签,光影,,
强边缘光,strong_rim_light,常规标签,光影,,
自上而下的光线,god_rays,常规标签,光影,,
明亮的射线光束,light_rays,常规标签,光影,,
环境光,ambient_light,常规标签,光影,,
轮廓光,rim light,常规标签,光影,,
体积光,Volumetric Lighting,常规标签,光影,,
霓虹灯,glowing neon lights,常规标签,光影,,
透镜光晕,lens flare,常规标签,光影,,
金属光泽,metallic luster,常规标签,光影,,
氛围光照,moody lighting,常规标签,光影,,
丁达尔效应,Tyndall effect,常规标签,光影,,
漏光光效,light leaks,常规标签,光影,,
背景光,background light,常规标签,光影,,
自然光,available light,常规标签,光影,,
全身,full body,常规标签,构图,,
半身像,portrait,常规标签,构图,,
上半身,upper body,常规标签,构图,,
正面视角,front view,常规标签,构图,,
侧面视角,from_side,常规标签,构图,,
从上方往下看,from_above,常规标签,构图,,
从下方往上看,from_below,常规标签,构图,,
左侧,left side view,常规标签,构图,,
右侧,right side view,常规标签,构图,,
动态角度,dynamic angle,常规标签,构图,,
倾斜视角,dutch angle,常规标签,构图,,
特写,close-up,常规标签,构图,,
微距,macro_shot,常规标签,构图,,
近景,selfie,常规标签,构图,,
中景, medium view,常规标签,构图,,
中长镜头,medium long shot,常规标签,构图,,
远景,wide shot,常规标签,构图,,
全景,panorama,常规标签,构图,,
近拍,close shot,常规标签,构图,,
俯视,vertical view,常规标签,构图,,
鸟瞰,bird's-eye view,常规标签,构图,,
鱼眼镜头,fisheye,常规标签,构图,,
多视角分解,multiple_views,常规标签,构图,,
裙底视角,phone_screen,常规标签,构图,,
动漫,Anime,艺术题材,表现形式,,
Q版,Chibi,艺术题材,表现形式,,
摄影,Photographic,艺术题材,表现形式,,
数字艺术,Digital Art,艺术题材,表现形式,,
连环漫画,Comic Book,艺术题材,表现形式,,
四格漫画,4koma,艺术题材,表现形式,,
幻想艺术,Fantasy Art,艺术题材,表现形式,,
素描,Sketch,艺术题材,绘画技法,,
漫画,Comic,艺术题材,绘画技法,,
厚涂,Impasto,艺术题材,绘画技法,,
油画,Oil Painting,艺术题材,绘画技法,,
水彩,Watercolor,艺术题材,绘画技法,,
国风水墨,Chinese Monochrome Ink,艺术题材,绘画技法,,
剪影,Silhouette,艺术题材,绘画技法,,
马克笔,Marker,艺术题材,绘画技法,,
超写实,Photorealism,艺术题材,绘画技法,,
像素艺术,Pixel Art,艺术题材,技术风格,,
低多边形,Low Poly,艺术题材,技术风格,,
等距艺术,Isometric,艺术题材,技术风格,,
线条艺术,Line Art,艺术题材,技术风格,,
故障艺术,Glitch Art,艺术题材,技术风格,,
气泡艺术,Bubble Art,艺术题材,技术风格,,
玻璃拟态,Glassmorphism,艺术题材,技术风格,,
新拟物风格,Neumorphism,艺术题材,技术风格,,
3D插画,3D Graphics,艺术题材,技术风格,,
宫崎骏风格,Hayao Miyazaki Style,艺术题材,艺术家风格,,
蒂姆伯顿风格,Tim Burton Style,艺术题材,艺术家风格,,
赛博朋克,Cyberpunk,艺术题材,艺术流派,,
霓虹朋克,Neon Punk,艺术题材,艺术流派,,
蒸汽波,Vaporwave,艺术题材,艺术流派,,
迷幻艺术,Psychedelia Art,艺术题材,艺术流派,,
酸性风格,Acid Graphics,艺术题材,艺术流派,,
极简主义,Minimalism,艺术题材,艺术流派,,
构成主义,Constructivism,艺术题材,艺术流派,,
孟菲斯风格,Memphis,艺术题材,艺术流派,,
胶片滤镜,Analog Film,艺术题材,媒介与效果,,
电影质感,Cinematic,艺术题材,媒介与效果,,
胶片电影,Celluloid,艺术题材,媒介与效果,,
复古风格,Retro Style,艺术题材,媒介与效果,,
杂志封面,Magazine Cover,艺术题材,载体与应用,,
海报,Poster,艺术题材,载体与应用,,
拍立得,Polaroid,艺术题材,载体与应用,,
公主,princess,人物类,人设,职业,
舞者,dancer,人物类,人设,职业,
啦啦队,cheerleader,人物类,人设,职业,
芭蕾舞女演员,ballerina,人物类,人设,职业,
体操队队长,gym leader,人物类,人设,职业,
女服务员,waitress,人物类,人设,职业,
和风女仆,wa maid,人物类,人设,职业,
女仆,maid,人物类,人设,职业,
偶像,idol,人物类,人设,职业,
弓道,kyuudou,人物类,人设,职业,
女武神,valkyrie,人物类,人设,职业,
办公室小姐,office lady,人物类,人设,职业,
赛车女郎,race queen,人物类,人设,职业,
魔女,Witch,人物类,人设,职业,
巫女,miko,人物类,人设,职业,
修女,nun,人物类,人设,职业,
牧师,priest,人物类,人设,职业,
神职人员(基督教),cleric,人物类,人设,职业,
忍者,ninja,人物类,人设,职业,
女警,policewoman,人物类,人设,职业,
警察,police,人物类,人设,职业,
医生,doctor,人物类,人设,职业,
护士,nurse,人物类,人设,职业,
眼镜娘,glasses,人物类,人设,职业,
狐狸精,kitsune,人物类,人设,职业,
公交车,public use,人物类,人设,职业,
女王(SM中),dominatrix,人物类,人设,职业,
机娘,mecha musume,人物类,人设,职业,
另一种机娘,gynoid,人物类,人设,职业,
类人机器人,humanoid robot,人物类,人设,职业,
半机械人,cyborg,人物类,人设,职业,
单人,solo,人物类,人设,性别/年龄,
女人,female,人物类,人设,性别/年龄,
男人,male,人物类,人设,性别/年龄,
性转,genderswap,人物类,人设,性别/年龄,
扶她,futanari,人物类,人设,性别/年龄,
伪娘,otoko no ko,人物类,人设,性别/年龄,
儿童,child,人物类,人设,性别/年龄,
未成年,underage,人物类,人设,性别/年龄,
年轻,young,人物类,人设,性别/年龄,
熟女,mature female,人物类,人设,性别/年龄,
老年,old,人物类,人设,性别/年龄,
胸,chest,人物类,人设,胸部,
胸肌,pectorals,人物类,人设,胸部,
大胸肌,large pectorals,人物类,人设,胸部,
小胸部(B,small breasts,人物类,人设,胸部,
中等胸部(C,medium breasts,人物类,人设,胸部,
大胸部(D,big breasts,人物类,人设,胸部,
巨乳(E,huge breasts,人物类,人设,胸部,
魔乳(F,gigantic breasts,人物类,人设,胸部,
未扣扣子,unbuttoned clothes,人物类,人设,胸部,
瓜子脸,heart-shaped face,人物类,人设,脸型,
鹅蛋脸,oval face,人物类,人设,脸型,
国字脸,square face,人物类,人设,脸型,
可爱脸,cute face,人物类,人设,脸型,
菱形脸,rhomboid face,人物类,人设,脸型,
圆脸,round face,人物类,人设,脸型,
长脸,long face,人物类,人设,脸型,
瘦脸,Thin face,人物类,人设,脸型,
平脸,Flat face,人物类,人设,脸型,
柔和的脸,Soft face,人物类,人设,脸型,
棱角分明的脸,Angular face,人物类,人设,脸型,
蒜头鼻,pug nose,人物类,人设,鼻子,
肉鼻子,dumpy nose,人物类,人设,鼻子,
朝天鼻,upturned nose,人物类,人设,鼻子,
扁鼻,flat nose,人物类,人设,鼻子,
鹰勾鼻,aquliline nose,人物类,人设,鼻子,
罗马鼻,Roman nose,人物类,人设,鼻子,
翘鼻,Snub nose,人物类,人设,鼻子,
长鼻,Long nose,人物类,人设,鼻子,
短鼻,Short nose,人物类,人设,鼻子,
樱桃小嘴,Cupid mouth,人物类,人设,嘴巴,
心形嘴,Heart-shaped mouth,人物类,人设,嘴巴,
薄唇,Thin mouth,人物类,人设,嘴巴,
丰唇,Full lips,人物类,人设,嘴巴,
嘟嘴,Pouty lips,人物类,人设,嘴巴,
方唇,Square lips,人物类,人设,嘴巴,
上扬唇,Up-turned lips,人物类,人设,嘴巴,
下撇唇,Down-turned lips,人物类,人设,嘴巴,
有光泽的皮肤,shiny skin,人物类,人设,皮肤,
苍白皮肤,pale skin,人物类,人设,皮肤,
白皙皮肤,white skin,人物类,人设,皮肤,
棕色皮肤,brown skin,人物类,人设,皮肤,
深色皮肤,deep skin,人物类,人设,皮肤,
偏黑皮肤,black skin,人物类,人设,皮肤,
晒日线,tan lines,人物类,人设,皮肤,
泳装晒痕,pang,人物类,人设,皮肤,
如白色大理石般有光泽的肌肤,white marble glowing skin,人物类,人设,皮肤,
模特,model,人物类,人设,体型,
苗条,slender,人物类,人设,体型,
诱惑,glamor,人物类,人设,体型,
丰满,plump,人物类,人设,体型,
肥胖,fat,人物类,人设,体型,
高大,tall,人物类,人设,体型,
纤弱,petite,人物类,人设,体型,
肌肉,muscular,人物类,人设,体型,
细腰,narrow waist,人物类,人设,体型,
宽臀,wide hips,人物类,人设,体型,
浓眉,thick  eyebrows,人物类,人设,眉毛,
眉毛翘起,cocked  eyebrow,人物类,人设,眉毛,
短眉毛,short  eyebrows,人物类,人设,眉毛,
V字眉,v-shaped  eyebrows,人物类,人设,眉毛,
剑眉,dashing eyebrows,人物类,人设,眉毛,
一字眉,straight united eyebrows ,人物类,人设,眉毛,
柳叶眉,arched eyebrows,人物类,人设,眉毛,
新月眉,crescent eyebrows,人物类,人设,眉毛,
描画过的眉毛,pencilled eyebrows ,人物类,人设,眉毛,
浓密而粗短的眉毛,bushy and stubby eyebrows,人物类,人设,眉毛,
绿头发,green hair,人物类,人设,头发,颜色
粉色头发,pink hair,人物类,人设,头发,颜色
红头发,red hair,人物类,人设,头发,颜色
铂金色头发,platinum blonde hair,人物类,人设,头发,颜色
青色头发,azure hair,人物类,人设,头发,颜色
水蓝色头发,aqua hair,人物类,人设,头发,颜色
红宝石色头发,ruby hair,人物类,人设,头发,颜色
两色头发,two-tone hair,人物类,人设,头发,颜色
多色的头发,multicolored hair,人物类,人设,头发,颜色
渐变头发,gradient hair,人物类,人设,头发,颜色
分色头发,split-color hair,人物类,人设,头发,颜色
彩虹头发,rainbow hair,人物类,人设,头发,颜色
长发,long hair,人物类,人设,头发,长度
很短的头发,very short hair,人物类,人设,头发,长度
短发,short hair,人物类,人设,头发,长度
后短发，前长发,short hair with long locks,人物类,人设,头发,长度
中等头发,medium hair,人物类,人设,头发,长度
很长的头发,very long hair,人物类,人设,头发,长度
超级长的头发,absurdly long hair,人物类,人设,头发,长度
马尾,ponytail,人物类,人设,头发,马尾
双马尾,twintails,人物类,人设,头发,马尾
高双马尾,canonicals,人物类,人设,头发,马尾
低双马尾,low twintails,人物类,人设,头发,马尾
披肩单马尾,one side up,人物类,人设,头发,马尾
披肩双马尾,two side up,人物类,人设,头发,马尾
短马尾,short ponytail,人物类,人设,头发,马尾
侧马尾,side ponytail,人物类,人设,头发,马尾
辫子,braid,人物类,人设,头发,辫子
法式辫子,french braid,人物类,人设,头发,辫子
辫子头发,braiding hair,人物类,人设,头发,辫子
双辫子,twin braids,人物类,人设,头发,辫子
三股辫,braid,人物类,人设,头发,辫子
短辫子,short braid,人物类,人设,头发,辫子
长辫子,long braid,人物类,人设,头发,辫子
辫子刘海,braided bangs,人物类,人设,头发,辫子
辫式发髻,braided bun,人物类,人设,头发,辫子
麻花辫马尾,braided ponytail,人物类,人设,头发,辫子
法式冠编发,crown braid,人物类,人设,头发,辫子
多股(麻花)辫,multiple braids,人物类,人设,头发,辫子
披在一侧的单条辫,side braid,人物类,人设,头发,辫子
披在两侧的两条辫,side braids,人物类,人设,头发,辫子
单股辫,single braid,人物类,人设,头发,辫子
两条辫子,twin braids,人物类,人设,头发,辫子
进气口发型,hair intakes,人物类,人设,头发,刘海
发瓣,hair flaps,人物类,人设,头发,刘海
刘海,bangs,人物类,人设,头发,刘海
空气刘海,air bangs,人物类,人设,头发,刘海
齐刘海,blunt bangs,人物类,人设,头发,刘海
侧面空气刘海,side blunt bangs,人物类,人设,头发,刘海
中分刘海,parted bangs,人物类,人设,头发,刘海
斜刘海,swept bangs,人物类,人设,头发,刘海
不对称刘海,asymmetric bangs,人物类,人设,头发,刘海
眼睛之间的头发,hair between eyes,人物类,人设,头发,其他
头发覆盖一只眼,hair over one eye,人物类,人设,头发,其他
头发遮住眉毛,hair over one eyebrow,人物类,人设,头发,其他
透过头发可见腮红,blush visible through hair,人物类,人设,头发,其他
透过头发可见眼睛,eyes visible through hair,人物类,人设,头发,其他
头发撩到耳后,hair behind ear,人物类,人设,头发,其他
披肩发,hair over shoulder,人物类,人设,头发,其他
头发遮住三点,hair censor,人物类,人设,头发,其他
头发披在胸上,hair over breasts,人物类,人设,头发,其他
直发,straight hair,人物类,人设,头发,其他
卷发,curly hair,人物类,人设,头发,其他
波浪卷,wavy hair,人物类,人设,头发,其他
钻头(配双),drill hair,人物类,人设,头发,其他
姬发式(齐刘海后长黑发,hime cut,人物类,人设,头发,其他
齐而短头发(波波发,bob cut,人物类,人设,头发,其他
公主发型,princess head,人物类,人设,头发,其他
上半部分束起,Half-up,人物类,人设,头发,其他
额头,forehead,人物类,人设,头发,其他
扎过的头发,tied hair,人物类,人设,头发,其他
低扎头发,low tied hair,人物类,人设,头发,其他
多扎头发,multi-tied hair,人物类,人设,头发,其他
丸子头,double bun,人物类,人设,头发,其他
圆发髻,hair bun,人物类,人设,头发,其他
芭蕾髻,ballet hair bun,人物类,人设,头发,其他
尖头头发,pointy hair,人物类,人设,头发,其他
羽毛头发,feather hair,人物类,人设,头发,其他
弓形头发,bow-shaped hair,人物类,人设,头发,其他
孤颈头发,lone nape hair,人物类,人设,头发,其他
变换发型,alternate hairstyle,人物类,人设,头发,其他
与原设不同头发长度,alternate hair length,人物类,人设,头发,其他
鬓角,sideburns,人物类,人设,头发,其他
长鬓角,long sideburns,人物类,人设,头发,其他
侧边发辫,sidelocks,人物类,人设,头发,其他
秃头,bald,人物类,人设,头发,其他
鸟窝头|爆炸头,afro,人物类,人设,头发,其他
尖刺的头发,spiked hair,人物类,人设,头发,其他
眼袋,bags under eyes,人物类,人设,眼睛,
缠着绷带的单眼,bandage over one eye,人物类,人设,眼睛,
遮眼|眼罩,blindfold,人物类,人设,眼睛,
眼罩,eyepatch,人物类,人设,眼睛,
眼影,eyeshadow,人物类,人设,眼睛,
医用眼罩,medical eyepatch,人物类,人设,眼睛,
眼睛上的疤痕,scar across eye,人物类,人设,眼睛,
闭眼,eyes closed,人物类,人设,眼睛,
半闭双眼,half closed eyes,人物类,人设,眼睛,
眯起眼睛,narrowed eyes,人物类,人设,眼睛,
拉下眼睑的鬼脸,akanbe,人物类,人设,眼睛,
睁大眼睛,wide eyed,人物类,人设,眼睛,
一只眼睛闭着,one eye closed,人物类,人设,眼睛,
蒙眼,blindfold,人物类,人设,眼睛,
眨眼,wink,人物类,人设,眼睛,
失去高光的眼睛,empty eyes,人物类,人设,眼睛,
翻白眼,rolling eyes,人物类,人设,眼睛,
眼泪,tears,人物类,人设,眼睛,
锐利的眼,slanted eyes,人物类,人设,眼睛,
低眉顺眼,tareme,人物类,人设,眼睛,
上翘的眼睛,upturned eyes,人物类,人设,眼睛,
瞳孔,pupils,人物类,人设,瞳孔,
明亮的瞳孔,bright pupils,人物类,人设,瞳孔,
异色瞳,heterochromia,人物类,人设,瞳孔,
竖的瞳孔/猫眼,slit pupils,人物类,人设,瞳孔,
蛇瞳孔,snake pupils,人物类,人设,瞳孔,
瞳孔闪光,pupils sparkling,人物类,人设,瞳孔,
爱心形瞳孔,heart shaped pupils,人物类,人设,瞳孔,
钻石形状瞳孔,diamond shaped pupils,人物类,人设,瞳孔,
五角星形状瞳孔,star shaped pupils,人物类,人设,瞳孔,
瞳孔散大,dilated pupils,人物类,人设,瞳孔,
没有瞳孔,no pupils,人物类,人设,瞳孔,
缩瞳,constricted pupils,人物类,人设,瞳孔,
眼睛里的星星,star in eye,人物类,人设,瞳孔,
星形瞳孔,star shaped pupils,人物类,人设,瞳孔,
X形瞳孔,x shaped pupils,人物类,人设,瞳孔,
水平瞳孔,horizontal pupils,人物类,人设,瞳孔,
虚线的眼睛,dashed eyes,人物类,人设,瞳孔,
蝴蝶形瞳孔,butterfly shaped pupils,人物类,人设,瞳孔,
菱形瞳孔,diamond shaped pupils,人物类,人设,瞳孔,
长方形瞳孔,rectangular pupils,人物类,人设,瞳孔,
方形瞳孔,square pupils,人物类,人设,瞳孔,
点瞳孔,dot pupils,人物类,人设,瞳孔,
额外的瞳孔,extra pupils,人物类,人设,瞳孔,
十字形瞳孔,cross shaped pupils,人物类,人设,瞳孔,
符号形瞳孔,symbol shaped pupils,人物类,人设,瞳孔,
连衣裙,dress,人物类,服饰,服装,上装
裙子,skirt,人物类,服饰,服装,上装
衬衫,blouse,人物类,服饰,服装,上装
t 恤,t-shirt,人物类,服饰,服装,上装
毛衣,sweater,人物类,服饰,服装,上装
夹克,jacket,人物类,服饰,服装,上装
背心,tank top,人物类,服饰,服装,上装
卫衣,hoodie,人物类,服饰,服装,上装
马甲,vest,人物类,服饰,服装,上装
风衣,trench coat,人物类,服饰,服装,上装
西装,suit,人物类,服饰,服装,上装
骑士夹克,biker jacket,人物类,服饰,服装,上装
外套,coat,人物类,服饰,服装,上装
罩衫,shawl,人物类,服饰,服装,上装
披肩,cape,人物类,服饰,服装,上装
庞乔斗篷,poncho,人物类,服饰,服装,上装
大衣,overcoat,人物类,服饰,服装,上装
毛皮大衣,fur coat,人物类,服饰,服装,上装
斗篷,cape,人物类,服饰,服装,上装
披风,cloak,人物类,服饰,服装,上装
皮衣,leather jacket,人物类,服饰,服装,上装
牛仔裤,jeans,人物类,服饰,服装,下装
裤子,pants,人物类,服饰,服装,下装
连体裤,jumpsuit,人物类,服饰,服装,下装
短裤,shorts,人物类,服饰,服装,下装
长裤,trousers,人物类,服饰,服装,下装
裙子,skirt,人物类,服饰,服装,下装
打底裤,leggings,人物类,服饰,服装,下装
紧身裤,leggings,人物类,服饰,服装,下装
便裤,slacks,人物类,服饰,服装,下装
阔腿裤,wide-leg pants,人物类,服饰,服装,下装
七分裤,capri pants,人物类,服饰,服装,下装
短裙,mini skirt,人物类,服饰,服装,下装
中裙,midi skirt,人物类,服饰,服装,下装
长裙,maxi skirt,人物类,服饰,服装,下装
运动裤,sweatpants,人物类,服饰,服装,下装
卡其裤,khaki pants,人物类,服饰,服装,下装
牛仔短裤,denim shorts,人物类,服饰,服装,下装
裙裤,skort,人物类,服饰,服装,下装
束脚裤,joggers,人物类,服饰,服装,下装
瑜伽裤,yoga pants,人物类,服饰,服装,下装
哈伦裤,harem pants,人物类,服饰,服装,下装
泳衣,swimsuit,人物类,服饰,服装,泳装
比基尼,bikini,人物类,服饰,服装,泳装
连体泳衣,one-piece swimsuit,人物类,服饰,服装,泳装
泳裙,swim skirt,人物类,服饰,服装,泳装
沙滩裙,beach cover-up,人物类,服饰,服装,泳装
遮阳衣,rash guard,人物类,服饰,服装,泳装
泳裤,swim shorts,人物类,服饰,服装,泳装
泳帽,swim cap,人物类,服饰,服装,泳装
浮潜套装,snorkel set,人物类,服饰,服装,泳装
潜水衣,wetsuit,人物类,服饰,服装,泳装
潜水裤,wetsuit pants,人物类,服饰,服装,泳装
冲浪裤,boardshorts,人物类,服饰,服装,泳装
运动文胸,sports bra,人物类,服饰,服装,运动装
运动上衣,sports top,人物类,服饰,服装,运动装
运动裤,sports pants,人物类,服饰,服装,运动装
运动短裤,athletic shorts,人物类,服饰,服装,运动装
运动紧身衣,compression suit,人物类,服饰,服装,运动装
运动套装,athletic set,人物类,服饰,服装,运动装
运动连衣裙,athletic dress,人物类,服饰,服装,运动装
健身服,gym wear,人物类,服饰,服装,运动装
跑步裤,running pants,人物类,服饰,服装,运动装
篮球裤,basketball shorts,人物类,服饰,服装,运动装
网球裤,tennis shorts,人物类,服饰,服装,运动装
足球裤,soccer shorts,人物类,服饰,服装,运动装
高尔夫服,golf attire,人物类,服饰,服装,运动装
瑜伽服,yoga wear,人物类,服饰,服装,运动装
太极服,tai chi suit,人物类,服饰,服装,运动装
拳击装,boxing attire,人物类,服饰,服装,运动装
羽毛球服,badminton attire,人物类,服饰,服装,运动装
游泳裤,swim trunks,人物类,服饰,服装,运动装
健身紧身衣,fitness tights,人物类,服饰,服装,运动装
长跑服,marathon suit,人物类,服饰,服装,运动装
文胸,bra,人物类,服饰,服装,内衣
内裤,panties,人物类,服饰,服装,内衣
丁字裤,thong,人物类,服饰,服装,内衣
连体内衣,bodysuit,人物类,服饰,服装,内衣
睡衣,pajamas,人物类,服饰,服装,内衣
底裤,long johns,人物类,服饰,服装,内衣
吊袜带,garter belt,人物类,服饰,服装,内衣
情趣内衣,lingerie,人物类,服饰,服装,内衣
背心,camisole,人物类,服饰,服装,内衣
泳衣内衣,swimwear bra,人物类,服饰,服装,内衣
塑身内衣,shapewear,人物类,服饰,服装,内衣
胸衣,bustier,人物类,服饰,服装,内衣
纹身文胸,tattoo bra,人物类,服饰,服装,内衣
丰胸垫,push-up pad,人物类,服饰,服装,内衣
吊带内衣,strapless bra,人物类,服饰,服装,内衣
无肩带文胸,convertible bra,人物类,服饰,服装,内衣
无线文胸,wireless bra,人物类,服饰,服装,内衣
无痕内衣,seamless underwear,人物类,服饰,服装,内衣
泳装内衣,swimwear bra,人物类,服饰,服装,内衣
小胸文胸,small cup bra,人物类,服饰,服装,内衣
大胸文胸,large cup bra,人物类,服饰,服装,内衣
项链,necklace,人物类,服饰,服装,配饰
耳环,earrings,人物类,服饰,服装,配饰
手链,bracelet,人物类,服饰,服装,配饰
戒指,ring,人物类,服饰,服装,配饰
围巾,scarf,人物类,服饰,服装,配饰
帽子,hat,人物类,服饰,服装,配饰
手套,gloves,人物类,服饰,服装,配饰
皮带,belt,人物类,服饰,服装,配饰
太阳镜,sunglasses,人物类,服饰,服装,配饰
包包,handbag,人物类,服饰,服装,配饰
披肩,shawl,人物类,服饰,服装,配饰
发夹,hairpin,人物类,服饰,服装,配饰
发带,headband,人物类,服饰,服装,配饰
项链套装,necklace set,人物类,服饰,服装,配饰
手表,watch,人物类,服饰,服装,配饰
腰链,waist chain,人物类,服饰,服装,配饰
胸针,brooch,人物类,服饰,服装,配饰
手镯,bangle,人物类,服饰,服装,配饰
项链链子,chain necklace,人物类,服饰,服装,配饰
胸花,corsage,人物类,服饰,服装,配饰
围巾固定器,scarf clip,人物类,服饰,服装,配饰
高跟鞋,high heels,人物类,服饰,服装,鞋类
运动鞋,sneakers,人物类,服饰,服装,鞋类
平底鞋,flats,人物类,服饰,服装,鞋类
靴子,boots,人物类,服饰,服装,鞋类
凉鞋,sandals,人物类,服饰,服装,鞋类
拖鞋,slippers,人物类,服饰,服装,鞋类
尖头鞋,pointed-toe shoes,人物类,服饰,服装,鞋类
帆布鞋,canvas shoes,人物类,服饰,服装,鞋类
平底便鞋,loafers,人物类,服饰,服装,鞋类
牛仔鞋,cowboy boots,人物类,服饰,服装,鞋类
坡跟鞋,wedges,人物类,服饰,服装,鞋类
男鞋,oxfords,人物类,服饰,服装,鞋类
马丁靴,ankle boots,人物类,服饰,服装,鞋类
水鞋,water shoes,人物类,服饰,服装,鞋类
人字拖,flip-flops,人物类,服饰,服装,鞋类
木底拖鞋,clogs,人物类,服饰,服装,鞋类
运动凉鞋,sport sandals,人物类,服饰,服装,鞋类
豆豆鞋,penny loafers,人物类,服饰,服装,鞋类
睡衣,pajamas,人物类,服饰,服装,睡衣
睡袍,robe,人物类,服饰,服装,睡衣
睡裙,nightgown,人物类,服饰,服装,睡衣
睡袍套装,robe set,人物类,服饰,服装,睡衣
家居服,loungewear,人物类,服饰,服装,睡衣
居家裤,lounging pants,人物类,服饰,服装,睡衣
睡裤,sleep shorts,人物类,服饰,服装,睡衣
睡裙套装,nightgown set,人物类,服饰,服装,睡衣
短睡裤套装,sleep shorts set,人物类,服饰,服装,睡衣
居家内衣,lounging lingerie,人物类,服饰,服装,睡衣
睡裤套装,sleep shorts set,人物类,服饰,服装,睡衣
夜袍,night robe,人物类,服饰,服装,睡衣
